ticker,signal_date,horizon,entry_label,entry_strategy,selected_setup,entry_date,entry_index,entry_price,entry_method,entry_wait_days,position_size_multiplier,applied_size_caps,initial_stop,target_1,target_1_hit,partial_exit_pct,exit_date,exit_index,exit_price,exit_reason,days_held,realized_return_pct,mae_pct,mfe_pct,mfe_capture_pct,event_count,market_regime,archetype,source_decision
CMCSA,2020-04-01,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,32.1,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,30.9172,32.3366,True,1.0,2020-10-22,707,45.11,MAX_SIM_WINDOW_EXIT,141,40.1317,0.0,47.9751,83.651,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
CMCSA,2020-04-01,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,32.1,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,31.3929,32.6303,True,20.0,2020-05-06,589,35.5264,TRAILING_STOP_EXIT,23,8.8698,0.0,21.8692,40.5584,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
COP,2020-03-25,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,31.12,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,20.319,33.2802,True,1.0,2020-04-15,574,31.12,STOP_LOSS_EXIT,13,0.0694,-11.5681,22.0437,0.3149,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
COP,2020-03-25,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,31.12,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,20.6316,38.9863,True,20.0,2020-06-11,614,45.4971,TRAILING_STOP_EXIT,53,42.0147,-11.5681,63.2069,66.4717,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
COP,2020-04-01,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,31.25,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,22.3421,33.0316,True,1.0,2020-04-15,574,31.25,STOP_LOSS_EXIT,8,0.057,-1.664,21.536,0.2647,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
COP,2020-04-01,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,31.25,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,21.8732,38.2826,True,20.0,2020-06-11,614,45.4971,TRAILING_STOP_EXIT,48,40.9735,-2.336,62.528,65.5283,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
CRWD,2022-05-25,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-05-26,746,145.7,NEXT_OPEN,0,0.5,HIGH_ATR_CAP|EARNINGS_STARTER_ONLY,126.75,149.49,True,1.0,2022-10-13,842,145.7,STOP_LOSS_EXIT,96,0.026,-2.2924,41.2011,0.0631,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
CRWD,2022-05-25,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-05-26,746,145.7,NEXT_OPEN,0,0.5,HIGH_ATR_CAP|EARNINGS_STARTER_ONLY,128.7,158.45,True,20.0,2022-07-26,786,168.1635,TRAILING_STOP_EXIT,40,14.0843,0.0,33.7337,41.7514,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DD,2020-03-25,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,14.03,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,11.5537,14.5252,True,1.0,2020-03-30,563,14.03,STOP_LOSS_EXIT,2,0.0353,-4.2766,3.7776,0.9343,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DD,2020-03-25,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,14.03,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,11.7315,15.7539,True,20.0,2020-05-14,595,18.0786,TRAILING_STOP_EXIT,34,25.5427,-5.9872,46.5431,54.8796,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DD,2020-04-01,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,13.59,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,11.5537,13.9972,True,1.0,2020-10-22,707,24.89,MAX_SIM_WINDOW_EXIT,141,82.3478,-2.9433,87.7116,93.8848,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DD,2020-04-01,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,13.59,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,11.7315,14.9839,True,20.0,2020-05-14,595,18.0786,TRAILING_STOP_EXIT,29,28.4742,-2.9433,51.2877,55.5185,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DFS,2020-03-25,medium_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,39.66,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,23.0588,42.9802,True,1.0,2020-05-04,587,39.66,STOP_LOSS_EXIT,26,0.0837,-30.6354,16.4902,0.5077,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DFS,2020-03-25,short_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,39.66,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,23.0175,52.1419,True,20.0,2020-06-10,613,56.4714,TRAILING_STOP_EXIT,52,40.2056,-30.6354,68.356,58.8179,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DOW,2020-03-24,medium_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,256,29.18,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,21.4012,30.7357,True,1.0,2020-03-27,258,29.18,STOP_LOSS_EXIT,2,0.0533,-7.745,7.2653,0.7338,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
DOW,2020-03-24,short_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-25,256,29.18,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,21.7305,34.7671,True,20.0,2020-04-21,274,30.2357,TRAILING_STOP_EXIT,18,6.7238,-7.745,29.3352,22.9204,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
