ticker,date,horizon,decision,score,confidence,market_regime,archetype,phase,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,sc_momentum,sc_trend,sc_entry_timing,sc_volume_accumulation,sc_volatility_risk,sc_relative_strength,sc_growth,sc_valuation,sc_quality,sc_ownership,sc_catalyst,forward_return,spy_return,qqq_return,excess_return,excess_return_vs_qqq,max_drawdown_period
AAPL,2022-05-16,medium_term,AVOID_BAD_BUSINESS,36.22,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,142.807373046875,15.0,68.0,45.0,50.0,downtrend,36.87,False,141.5628,140.15,149.54,8.0,10.0,48.8,16.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,19.0534,7.8648,11.553,11.1886,7.5004,-11.3371
AAPL,2022-05-16,long_term,WATCHLIST_VALUATION_TOO_RICH,47.2,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,142.807373046875,15.0,68.0,45.0,50.0,downtrend,36.87,False,141.5628,140.15,149.54,8.0,10.0,48.8,16.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,19.3632,5.5425,11.8027,13.8207,7.5605,-14.423
AAPL,2022-05-23,short_term,AVOID_BAD_CHART,27.59,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,140.4229736328125,20.0,68.0,45.0,50.0,downtrend,40.23,False,136.5631,135.2,141.32,8.0,15.0,53.8,30.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,-5.4224,-5.2688,-4.181,-0.1536,-1.2414,-9.8316
AAPL,2022-05-23,medium_term,AVOID_BAD_BUSINESS,39.19,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,140.4229736328125,20.0,68.0,45.0,50.0,downtrend,40.23,False,136.5631,135.2,141.32,8.0,15.0,53.8,30.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,17.0165,4.3362,7.2317,12.6803,9.7848,-9.8316
AAPL,2022-05-23,long_term,WATCHLIST_VALUATION_TOO_RICH,47.7,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,140.4229736328125,20.0,68.0,45.0,50.0,downtrend,40.23,False,136.5631,135.2,141.32,8.0,15.0,53.8,30.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,20.7925,5.3247,13.8742,15.4678,6.9183,-12.9699
AAPL,2022-05-30,short_term,AVOID_BAD_CHART,48.64,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,146.8303680419922,20.0,68.0,45.0,50.0,downtrend,49.16,False,146.6347,145.17,149.54,50.0,30.0,70.0,76.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,-8.1529,-7.4191,-7.8484,-0.7338,-0.3045,-13.7664
AAPL,2022-05-30,medium_term,WATCHLIST_NEEDS_CONFIRMATION,48.69,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,146.8303680419922,20.0,68.0,45.0,50.0,downtrend,49.16,False,146.6347,145.17,149.54,50.0,30.0,70.0,76.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,7.9953,-2.0732,-1.0655,10.0685,9.0608,-13.7664
AAPL,2022-05-30,long_term,WATCHLIST_VALUATION_TOO_RICH,51.3,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,146.8303680419922,20.0,68.0,45.0,50.0,downtrend,49.16,False,146.6347,145.17,149.54,50.0,30.0,70.0,76.0,25.9,18.0,85.0,26.7,50.0,50.0,60.0,19.1582,2.9059,13.7484,16.2523,5.4098,-16.7677
AAPL,2022-06-06,short_term,AVOID_BAD_CHART,36.89,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,143.39605712890625,10.0,68.0,45.0,50.0,downtrend,45.69,False,135.8581,134.5,149.59,20.0,25.0,67.5,58.0,25.9,10.0,85.0,26.7,50.0,50.0,60.0,-2.2033,-6.5287,-5.815,4.3254,3.6117,-11.7011
AAPL,2022-06-06,medium_term,AVOID_BAD_BUSINESS,43.99,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,143.39605712890625,10.0,68.0,45.0,50.0,downtrend,45.69,False,135.8581,134.5,149.59,20.0,25.0,67.5,58.0,25.9,10.0,85.0,26.7,50.0,50.0,60.0,5.888,-4.6971,-4.429,10.5851,10.317,-11.7011
AAPL,2022-06-06,long_term,WATCHLIST_VALUATION_TOO_RICH,49.3,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,143.39605712890625,10.0,68.0,45.0,50.0,downtrend,45.69,False,135.8581,134.5,149.59,20.0,25.0,67.5,58.0,25.9,10.0,85.0,26.7,50.0,50.0,60.0,22.4045,5.3393,14.4132,17.0652,7.9913,-14.7743
AAPL,2022-06-13,short_term,AVOID_BAD_CHART,19.9,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,129.4038543701172,15.0,68.0,45.0,50.0,downtrend,32.98,False,125.695,124.44,131.36,0.0,15.0,32.5,23.0,18.8,18.0,85.0,26.7,50.0,50.0,60.0,10.32,1.4577,3.9175,8.8623,6.4025,-2.1535
AAPL,2022-06-13,medium_term,AVOID_BAD_BUSINESS,38.19,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,129.4038543701172,15.0,68.0,45.0,50.0,downtrend,32.98,False,125.695,124.44,131.36,0.0,15.0,32.5,23.0,18.8,18.0,85.0,26.7,50.0,50.0,60.0,16.8135,5.2795,6.846,11.534,9.9675,-2.1535
AAPL,2022-06-13,long_term,WATCHLIST_VALUATION_TOO_RICH,46.95,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,129.4038543701172,15.0,68.0,45.0,50.0,downtrend,32.98,False,125.695,124.44,131.36,0.0,15.0,32.5,23.0,18.8,18.0,85.0,26.7,50.0,50.0,60.0,40.3157,18.5565,33.8772,21.7592,6.4385,-5.559
AAPL,2022-06-20,short_term,AVOID_BAD_CHART,30.29,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,129.08984375,20.0,68.0,45.0,50.0,downtrend,36.04,False,126.1575,124.9,129.32,8.0,15.0,51.2,47.0,18.8,23.2,85.0,26.7,50.0,50.0,60.0,14.7765,4.5858,6.1264,10.1907,8.6501,1.3378
AAPL,2022-06-20,medium_term,AVOID_BAD_BUSINESS,42.39,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,129.08984375,20.0,68.0,45.0,50.0,downtrend,36.04,False,126.1575,124.9,129.32,8.0,15.0,51.2,47.0,18.8,23.2,85.0,26.7,50.0,50.0,60.0,17.5848,4.0196,3.7331,13.5652,13.8517,1.3378
AAPL,2022-06-20,long_term,WATCHLIST_VALUATION_TOO_RICH,47.34,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,129.08984375,20.0,68.0,45.0,50.0,downtrend,36.04,False,126.1575,124.9,129.32,8.0,15.0,51.2,47.0,18.8,23.2,85.0,26.7,50.0,50.0,60.0,40.6647,17.856,29.6714,22.8087,10.9933,-5.3293
AAPL,2022-06-27,short_term,AVOID_BAD_CHART,46.55,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,139.00021362304688,20.0,68.0,45.0,50.0,downtrend,49.73,False,135.8581,134.5,141.28,65.0,30.0,72.5,43.0,18.8,23.2,85.0,26.7,50.0,50.0,60.0,7.0168,0.5919,0.6565,6.4249,6.3603,-5.5697
AAPL,2022-06-27,medium_term,AVOID_BAD_BUSINESS,44.69,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,139.00021362304688,20.0,68.0,45.0,50.0,downtrend,49.73,False,135.8581,134.5,141.28,65.0,30.0,72.5,43.0,18.8,23.2,85.0,26.7,50.0,50.0,60.0,6.5787,-5.8631,-6.0137,12.4418,12.5924,-5.5697
AAPL,2022-06-27,long_term,WATCHLIST_VALUATION_TOO_RICH,51.7,medium,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,139.00021362304688,20.0,68.0,45.0,50.0,downtrend,49.73,False,135.8581,134.5,141.28,65.0,30.0,72.5,43.0,18.8,23.2,85.0,26.7,50.0,50.0,60.0,34.3922,14.1347,25.5391,20.2575,8.8531,-12.0791
AAPL,2022-07-04,short_term,AVOID_BAD_CHART,40.65,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,136.3214569091797,20.0,68.0,45.0,40.0,downtrend,47.32,False,135.8581,134.5,138.98,30.0,25.0,72.5,61.0,18.8,18.0,85.0,26.7,50.0,50.0,55.0,16.2528,7.5427,9.8655,8.7101,6.3873,-1.4396
AAPL,2022-07-04,medium_term,WATCHLIST_NEEDS_CONFIRMATION,45.09,low,BEAR_RISK_OFF,PROFITABLE_GROWTH,3,136.3214569091797,20.0,68.0,45.0,40.0,downtrend,47.32,False,135.8581,134.5,138.98,30.0,25.0,72.5,61.0,18.8,18.0,85.0,26.7,50.0,50.0,55.0,-0.3873,-6.1034,-6.6977,5.7161,6.3104,-1.4396
