ticker,date,horizon,decision,score,confidence,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,forward_return,spy_return,excess_return
AAPL,2025-02-24,short_term,WAIT_FOR_PULLBACK,69.5,medium_high,246.0277099609375,100.0,90.0,35.0,50.0,strong_uptrend,63.02,False,244.355,241.91,249.44,-10.6718,-3.5838,-7.088
AAPL,2025-02-24,medium_term,WATCHLIST,67.75,medium_high,246.0277099609375,100.0,90.0,35.0,50.0,strong_uptrend,63.02,False,244.355,241.91,249.44,-18.7848,-1.2913,-17.4935
AAPL,2025-02-24,long_term,WATCHLIST,63.5,medium,246.0277099609375,100.0,90.0,35.0,50.0,strong_uptrend,63.02,False,244.355,241.91,249.44,11.4631,17.4277,-5.9646
AAPL,2025-03-03,short_term,WATCHLIST,57.25,medium,236.99705505371094,65.0,90.0,35.0,50.0,weak_uptrend,48.45,False,228.5402,226.25,237.77,-6.6798,-3.888,-2.7918
AAPL,2025-03-03,medium_term,WATCHLIST,60.75,medium,236.99705505371094,65.0,90.0,35.0,50.0,weak_uptrend,48.45,False,228.5402,226.25,237.77,-14.6805,2.3901,-17.0706
AAPL,2025-03-03,long_term,WATCHLIST,61.75,medium,236.99705505371094,65.0,90.0,35.0,50.0,weak_uptrend,48.45,False,228.5402,226.25,237.77,10.7693,18.7412,-7.9719
AAPL,2025-03-10,short_term,WATCHLIST,57.25,medium,226.4928436279297,65.0,90.0,35.0,50.0,weak_uptrend,37.74,False,215.4572,213.3,228.34,-20.2303,-9.7547,-10.4756
AAPL,2025-03-10,medium_term,WATCHLIST,60.75,medium,226.4928436279297,65.0,90.0,35.0,50.0,weak_uptrend,37.74,False,215.4572,213.3,228.34,-12.5019,7.5973,-20.0992
AAPL,2025-03-10,long_term,WATCHLIST,61.75,medium,226.4928436279297,65.0,90.0,35.0,50.0,weak_uptrend,37.74,False,215.4572,213.3,228.34,15.1515,22.065,-6.9135
AAPL,2025-03-17,short_term,AVOID,39.75,low,213.0713348388672,15.0,90.0,35.0,50.0,downtrend,31.92,False,208.8925,206.8,217.89,-5.3645,-4.6563,-0.7082
AAPL,2025-03-17,medium_term,AVOID,50.75,medium,213.0713348388672,15.0,90.0,35.0,50.0,downtrend,31.92,False,208.8925,206.8,217.89,-8.0197,5.6576,-13.6773
AAPL,2025-03-17,long_term,AVOID,59.25,medium,213.0713348388672,15.0,90.0,35.0,50.0,downtrend,31.92,False,208.8925,206.8,217.89,17.3034,17.993,-0.6896
